x, u_gen, u_spec
0.000000, 0.000000, 0.000000
0.010101, 0.085902, 0.085902
0.020202, 0.162582, 0.162582
0.030303, 0.230925, 0.230925
0.040404, 0.291733, 0.291733
0.050505, 0.345728, 0.345728
0.060606, 0.393566, 0.393566
0.070707, 0.435839, 0.435839
0.080808, 0.473081, 0.473081
0.090909, 0.505775, 0.505775
0.101010, 0.534358, 0.534358
0.111111, 0.559225, 0.559225
0.121212, 0.580734, 0.580734
0.131313, 0.599207, 0.599207
0.141414, 0.614935, 0.614935
0.151515, 0.628183, 0.628183
0.161616, 0.639188, 0.639188
0.171717, 0.648166, 0.648166
0.181818, 0.655312, 0.655312
0.191919, 0.660802, 0.660802
0.202020, 0.664795, 0.664795
0.212121, 0.667435, 0.667435
0.222222, 0.668851, 0.668851
0.232323, 0.669162, 0.669162
0.242424, 0.668473, 0.668473
0.252525, 0.666881, 0.666881
0.262626, 0.664472, 0.664472
0.272727, 0.661325, 0.661325
0.282828, 0.657511, 0.657511
0.292929, 0.653094, 0.653094
0.303030, 0.648131, 0.648131
0.313131, 0.642676, 0.642676
0.323232, 0.636775, 0.636775
0.333333, 0.630472, 0.630472
0.343434, 0.623804, 0.623804
0.353535, 0.616808, 0.616808
0.363636, 0.609514, 0.609514
0.373737, 0.601951, 0.601951
0.383838, 0.594145, 0.594145
0.393939, 0.586120, 0.586120
0.404040, 0.577896, 0.577896
0.414141, 0.569493, 0.569493
0.424242, 0.560927, 0.560927
0.434343, 0.552215, 0.552215
0.444444, 0.543370, 0.543370
0.454545, 0.534405, 0.534405
0.464646, 0.525332, 0.525332
0.474747, 0.516161, 0.516161
0.484848, 0.506902, 0.506902
0.494949, 0.497563, 0.497563
0.505051, 0.488151, 0.488151
0.515152, 0.478674, 0.478674
0.525253, 0.469138, 0.469138
0.535354, 0.459549, 0.459549
0.545455, 0.449911, 0.449911
0.555556, 0.440229, 0.440229
0.565657, 0.430508, 0.430508
0.575758, 0.420752, 0.420752
0.585859, 0.410963, 0.410963
0.595960, 0.401145, 0.401145
0.606061, 0.391301, 0.391301
0.616162, 0.381433, 0.381433
0.626263, 0.371544, 0.371544
0.636364, 0.361635, 0.361635
0.646465, 0.351708, 0.351708
0.656566, 0.341766, 0.341766
0.666667, 0.331809, 0.331809
0.676768, 0.321839, 0.321839
0.686869, 0.311857, 0.311857
0.696970, 0.301865, 0.301865
0.707071, 0.291864, 0.291864
0.717172, 0.281853, 0.281853
0.727273, 0.271835, 0.271835
0.737374, 0.261810, 0.261810
0.747475, 0.251778, 0.251778
0.757576, 0.241740, 0.241740
0.767677, 0.231698, 0.231698
0.777778, 0.221650, 0.221650
0.787879, 0.211598, 0.211598
0.797980, 0.201543, 0.201543
0.808081, 0.191484, 0.191484
0.818182, 0.181421, 0.181421
0.828283, 0.171356, 0.171356
0.838384, 0.161289, 0.161289
0.848485, 0.151218, 0.151218
0.858586, 0.141146, 0.141146
0.868687, 0.131072, 0.131072
0.878788, 0.120997, 0.120997
0.888889, 0.110919, 0.110919
0.898990, 0.100840, 0.100840
0.909091, 0.090760, 0.090760
0.919192, 0.080679, 0.080679
0.929293, 0.070597, 0.070597
0.939394, 0.060514, 0.060514
0.949495, 0.050430, 0.050430
0.959596, 0.040345, 0.040345
0.969697, 0.030260, 0.030260
0.979798, 0.020174, 0.020174
0.989899, 0.010087, 0.010087
1.000000, 0.000000, 0.000000
