x, f, u_gen, u_spec, u_LU
5.8585858586e-01, -7.2752687946e+03, 4.3270675789e-01, 1.0282106251e-01, 7.0110373042e-01
5.9595959596e-01, -7.3296681859e+03, 4.2235048748e-01, 6.0859788632e-01, 7.0654906867e-01
6.0606060606e-01, -7.3825361173e+03, 4.1196891607e-01, 9.9611371884e-02, 7.1184304824e-01
6.1616161616e-01, -7.4339278376e+03, 4.0156447449e-01, 6.2243553763e-01, 7.1699105732e-01
6.2626262626e-01, -7.4838965253e+03, 3.9113936001e-01, 9.6105610181e-02, 7.2199828615e-01
6.3636363636e-01, -7.5324933451e+03, 3.8069555880e-01, 6.3598771913e-01, 7.2686973205e-01
6.4646464646e-01, -7.5797675061e+03, 3.7023486622e-01, 9.2324584550e-02, 7.3161020472e-01
6.5656565657e-01, -7.6257663219e+03, 3.5975890511e-01, 6.4927445799e-01, 7.3622433173e-01
6.6666666667e-01, -7.6705352707e+03, 3.4926914243e-01, 8.8287564108e-02, 7.4071656403e-01
6.7676767677e-01, -7.7141180561e+03, 3.3876690416e-01, 6.6231428780e-01, 7.4509118160e-01
6.8686868687e-01, -7.7565566679e+03, 3.2825338892e-01, 8.4012369829e-02, 7.4935229910e-01
6.9696969697e-01, -7.7978914424e+03, 3.1772968016e-01, 6.7512434000e-01, 7.5350387151e-01
7.0707070707e-01, -7.8381611219e+03, 3.0719675722e-01, 7.9515466748e-02, 7.5754969968e-01
7.1717171717e-01, -7.8774029136e+03, 2.9665550537e-01, 6.8772043626e-01, 7.6149343592e-01
7.2727272727e-01, -7.9156525471e+03, 2.8610672482e-01, 7.4812055994e-02, 7.6533858941e-01
7.3737373737e-01, -7.9529443313e+03, 2.7555113890e-01, 7.0011717972e-01, 7.6908853158e-01
7.4747474747e-01, -7.9893112091e+03, 2.6498940144e-01, 6.9916164900e-02, 7.7274650129e-01
7.5757575758e-01, -8.0247848117e+03, 2.5442210346e-01, 7.1232804364e-01, 7.7631561002e-01
7.6767676768e-01, -8.0593955102e+03, 2.4384977918e-01, 6.4840733933e-02, 7.7979884679e-01
7.7777777778e-01, -8.0931724672e+03, 2.3327291152e-01, 7.2436545645e-01, 7.8319908301e-01
7.8787878788e-01, -8.1261436849e+03, 2.2269193699e-01, 5.9597699637e-02, 7.8651907721e-01
7.9797979798e-01, -8.1583360536e+03, 2.1210725016e-01, 7.3624088241e-01, 7.8976147955e-01
8.0808080808e-01, -8.1897753969e+03, 2.0151920769e-01, 5.4198073052e-02, 7.9292883626e-01
8.1818181818e-01, -8.2204865166e+03, 1.9092813198e-01, 7.4796489775e-01, 7.9602359387e-01
8.2828282828e-01, -8.2504932348e+03, 1.8033431445e-01, 4.8652013354e-02, 7.9904810331e-01
8.3838383838e-01, -8.2798184355e+03, 1.6973801853e-01, 7.5954726178e-01, 8.0200462390e-01
8.4848484848e-01, -8.3084841038e+03, 1.5913948232e-01, 4.2968896599e-02, 8.0489532713e-01
8.5858585859e-01, -8.3365113642e+03, 1.4853892107e-01, 7.7099698327e-01, 8.0772230032e-01
8.6868686869e-01, -8.3639205168e+03, 1.3793652934e-01, 3.7157379602e-02, 8.1048755018e-01
8.7878787879e-01, -8.3907310727e+03, 1.2733248298e-01, 7.8232238187e-01, 8.1319300617e-01
8.8888888889e-01, -8.4169617871e+03, 1.1672694098e-01, 3.1225459068e-02, 8.1584052375e-01
8.9898989899e-01, -8.4426306921e+03, 1.0612004702e-01, 7.9353114496e-01, 8.1843188750e-01
9.0909090909e-01, -8.4677551270e+03, 9.5511931000e-02, 2.5180526162e-02, 8.2096881412e-01
9.1919191919e-01, -8.4923517683e+03, 8.4902710326e-02, 8.0463038005e-01, 8.2345295529e-01
9.2929292929e-01, -8.5164366578e+03, 7.4292491131e-02, 1.9029416727e-02, 8.2588590041e-01
9.3939393939e-01, -8.5400252295e+03, 6.3681369348e-02, 8.1562666285e-01, 8.2826917923e-01
9.4949494949e-01, -8.5631323361e+03, 5.3069431695e-02, 1.2778457415e-02, 8.3060426438e-01
9.5959595960e-01, -8.5857722730e+03, 4.2456756557e-02, 8.2652608151e-01, 8.3289257378e-01
9.6969696970e-01, -8.6079588026e+03, 3.1843414789e-02, 6.4335079800e-03, 8.3513547292e-01
9.7979797980e-01, -8.6297051765e+03, 2.1229470438e-02, 8.3733427707e-01, 8.3733427707e-01
9.8989898990e-01, -8.6510241576e+03, 1.0614981398e-02, 0.0000000000e+00, 8.3949025343e-01
1.0000000000e+00, -8.5636446152e+03, 0.0000000000e+00, 8.3109579150e-01, 0.0000000000e+00
