x, u_gen, u_spec
0.000000, 0.000000, 0.000000
0.001001, 0.008959, 0.008959
0.002002, 0.017819, 0.017819
0.003003, 0.026581, 0.026581
0.004004, 0.035245, 0.035245
0.005005, 0.043813, 0.043813
0.006006, 0.052286, 0.052286
0.007007, 0.060664, 0.060664
0.008008, 0.068949, 0.068949
0.009009, 0.077142, 0.077142
0.010010, 0.085243, 0.085243
0.011011, 0.093253, 0.093253
0.012012, 0.101174, 0.101174
0.013013, 0.109005, 0.109005
0.014014, 0.116749, 0.116749
0.015015, 0.124406, 0.124406
0.016016, 0.131976, 0.131976
0.017017, 0.139461, 0.139461
0.018018, 0.146862, 0.146862
0.019019, 0.154179, 0.154179
0.020020, 0.161413, 0.161413
0.021021, 0.168565, 0.168565
0.022022, 0.175635, 0.175635
0.023023, 0.182626, 0.182626
0.024024, 0.189537, 0.189537
0.025025, 0.196369, 0.196369
0.026026, 0.203123, 0.203123
0.027027, 0.209799, 0.209799
0.028028, 0.216399, 0.216399
0.029029, 0.222924, 0.222924
0.030030, 0.229374, 0.229374
0.031031, 0.235749, 0.235749
0.032032, 0.242051, 0.242051
0.033033, 0.248280, 0.248280
0.034034, 0.254437, 0.254437
0.035035, 0.260523, 0.260523
0.036036, 0.266538, 0.266538
0.037037, 0.272484, 0.272484
0.038038, 0.278360, 0.278360
0.039039, 0.284168, 0.284168
0.040040, 0.289908, 0.289908
0.041041, 0.295580, 0.295580
0.042042, 0.301187, 0.301187
0.043043, 0.306727, 0.306727
0.044044, 0.312203, 0.312203
0.045045, 0.317613, 0.317613
0.046046, 0.322960, 0.322960
0.047047, 0.328244, 0.328244
0.048048, 0.333465, 0.333465
0.049049, 0.338624, 0.338624
0.050050, 0.343722, 0.343722
0.051051, 0.348759, 0.348759
0.052052, 0.353736, 0.353736
0.053053, 0.358654, 0.358654
0.054054, 0.363512, 0.363512
0.055055, 0.368312, 0.368312
0.056056, 0.373054, 0.373054
0.057057, 0.377740, 0.377740
0.058058, 0.382368, 0.382368
0.059059, 0.386940, 0.386940
0.060060, 0.391457, 0.391457
0.061061, 0.395919, 0.395919
0.062062, 0.400327, 0.400327
0.063063, 0.404680, 0.404680
0.064064, 0.408981, 0.408981
0.065065, 0.413228, 0.413228
0.066066, 0.417423, 0.417423
0.067067, 0.421567, 0.421567
0.068068, 0.425659, 0.425659
0.069069, 0.429701, 0.429701
0.070070, 0.433692, 0.433692
0.071071, 0.437634, 0.437634
0.072072, 0.441526, 0.441526
0.073073, 0.445370, 0.445370
0.074074, 0.449165, 0.449165
0.075075, 0.452912, 0.452912
0.076076, 0.456613, 0.456613
0.077077, 0.460266, 0.460266
0.078078, 0.463873, 0.463873
0.079079, 0.467435, 0.467435
0.080080, 0.470950, 0.470950
0.081081, 0.474421, 0.474421
0.082082, 0.477847, 0.477847
0.083083, 0.481230, 0.481230
0.084084, 0.484568, 0.484568
0.085085, 0.487863, 0.487863
0.086086, 0.491116, 0.491116
0.087087, 0.494326, 0.494326
0.088088, 0.497494, 0.497494
0.089089, 0.500621, 0.500621
0.090090, 0.503706, 0.503706
0.091091, 0.506751, 0.506751
0.092092, 0.509756, 0.509756
0.093093, 0.512720, 0.512720
0.094094, 0.515645, 0.515645
0.095095, 0.518531, 0.518531
0.096096, 0.521379, 0.521379
0.097097, 0.524188, 0.524188
0.098098, 0.526959, 0.526959
0.099099, 0.529692, 0.529692
0.100100, 0.532389, 0.532389
0.101101, 0.535048, 0.535048
0.102102, 0.537671, 0.537671
0.103103, 0.540258, 0.540258
0.104104, 0.542809, 0.542809
0.105105, 0.545325, 0.545325
0.106106, 0.547806, 0.547806
0.107107, 0.550252, 0.550252
0.108108, 0.552664, 0.552664
0.109109, 0.555041, 0.555041
0.110110, 0.557385, 0.557385
0.111111, 0.559696, 0.559696
0.112112, 0.561974, 0.561974
0.113113, 0.564219, 0.564219
0.114114, 0.566432, 0.566432
0.115115, 0.568613, 0.568613
0.116116, 0.570762, 0.570762
0.117117, 0.572880, 0.572880
0.118118, 0.574966, 0.574966
0.119119, 0.577022, 0.577022
0.120120, 0.579048, 0.579048
0.121121, 0.581043, 0.581043
0.122122, 0.583009, 0.583009
0.123123, 0.584945, 0.584945
0.124124, 0.586851, 0.586851
0.125125, 0.588729, 0.588729
0.126126, 0.590578, 0.590578
0.127127, 0.592399, 0.592399
0.128128, 0.594191, 0.594191
0.129129, 0.595956, 0.595956
0.130130, 0.597693, 0.597693
0.131131, 0.599403, 0.599403
0.132132, 0.601086, 0.601086
0.133133, 0.602742, 0.602742
0.134134, 0.604372, 0.604372
0.135135, 0.605976, 0.605976
0.136136, 0.607553, 0.607553
0.137137, 0.609105, 0.609105
0.138138, 0.610632, 0.610632
0.139139, 0.612133, 0.612133
0.140140, 0.613609, 0.613609
0.141141, 0.615061, 0.615061
0.142142, 0.616488, 0.616488
0.143143, 0.617892, 0.617892
0.144144, 0.619271, 0.619271
0.145145, 0.620626, 0.620626
0.146146, 0.621958, 0.621958
0.147147, 0.623267, 0.623267
0.148148, 0.624553, 0.624553
0.149149, 0.625816, 0.625816
0.150150, 0.627056, 0.627056
0.151151, 0.628274, 0.628274
0.152152, 0.629470, 0.629470
0.153153, 0.630644, 0.630644
0.154154, 0.631797, 0.631797
0.155155, 0.632928, 0.632928
0.156156, 0.634037, 0.634037
0.157157, 0.635126, 0.635126
0.158158, 0.636194, 0.636194
0.159159, 0.637241, 0.637241
0.160160, 0.638268, 0.638268
0.161161, 0.639275, 0.639275
0.162162, 0.640262, 0.640262
0.163163, 0.641229, 0.641229
0.164164, 0.642176, 0.642176
0.165165, 0.643104, 0.643104
0.166166, 0.644013, 0.644013
0.167167, 0.644902, 0.644902
0.168168, 0.645773, 0.645773
0.169169, 0.646625, 0.646625
0.170170, 0.647459, 0.647459
0.171171, 0.648275, 0.648275
0.172172, 0.649072, 0.649072
0.173173, 0.649852, 0.649852
0.174174, 0.650613, 0.650613
0.175175, 0.651358, 0.651358
0.176176, 0.652084, 0.652084
0.177177, 0.652794, 0.652794
0.178178, 0.653487, 0.653487
0.179179, 0.654162, 0.654162
0.180180, 0.654821, 0.654821
0.181181, 0.655464, 0.655464
0.182182, 0.656090, 0.656090
0.183183, 0.656700, 0.656700
0.184184, 0.657294, 0.657294
0.185185, 0.657871, 0.657871
0.186186, 0.658434, 0.658434
0.187187, 0.658980, 0.658980
0.188188, 0.659512, 0.659512
0.189189, 0.660028, 0.660028
0.190190, 0.660529, 0.660529
0.191191, 0.661014, 0.661014
0.192192, 0.661486, 0.661486
0.193193, 0.661942, 0.661942
0.194194, 0.662384, 0.662384
0.195195, 0.662812, 0.662812
0.196196, 0.663225, 0.663225
0.197197, 0.663624, 0.663624
0.198198, 0.664009, 0.664009
0.199199, 0.664381, 0.664381
0.200200, 0.664739, 0.664739
0.201201, 0.665083, 0.665083
0.202202, 0.665414, 0.665414
0.203203, 0.665732, 0.665732
0.204204, 0.666036, 0.666036
0.205205, 0.666328, 0.666328
0.206206, 0.666606, 0.666606
0.207207, 0.666872, 0.666872
0.208208, 0.667125, 0.667125
0.209209, 0.667366, 0.667366
0.210210, 0.667594, 0.667594
0.211211, 0.667811, 0.667811
0.212212, 0.668015, 0.668015
0.213213, 0.668207, 0.668207
0.214214, 0.668387, 0.668387
0.215215, 0.668555, 0.668555
0.216216, 0.668712, 0.668712
0.217217, 0.668857, 0.668857
0.218218, 0.668991, 0.668991
0.219219, 0.669113, 0.669113
0.220220, 0.669225, 0.669225
0.221221, 0.669325, 0.669325
0.222222, 0.669414, 0.669414
0.223223, 0.669493, 0.669493
0.224224, 0.669560, 0.669560
0.225225, 0.669617, 0.669617
0.226226, 0.669664, 0.669664
0.227227, 0.669700, 0.669700
0.228228, 0.669726, 0.669726
0.229229, 0.669741, 0.669741
0.230230, 0.669746, 0.669746
0.231231, 0.669742, 0.669742
0.232232, 0.669727, 0.669727
0.233233, 0.669703, 0.669703
0.234234, 0.669669, 0.669669
0.235235, 0.669625, 0.669625
0.236236, 0.669571, 0.669571
0.237237, 0.669509, 0.669509
0.238238, 0.669437, 0.669437
0.239239, 0.669355, 0.669355
0.240240, 0.669265, 0.669265
0.241241, 0.669165, 0.669165
0.242242, 0.669057, 0.669057
0.243243, 0.668939, 0.668939
0.244244, 0.668813, 0.668813
0.245245, 0.668678, 0.668678
0.246246, 0.668535, 0.668535
0.247247, 0.668382, 0.668382
0.248248, 0.668222, 0.668222
0.249249, 0.668053, 0.668053
0.250250, 0.667876, 0.667876
0.251251, 0.667690, 0.667690
0.252252, 0.667497, 0.667497
0.253253, 0.667295, 0.667295
0.254254, 0.667086, 0.667086
0.255255, 0.666868, 0.666868
0.256256, 0.666643, 0.666643
0.257257, 0.666410, 0.666410
0.258258, 0.666169, 0.666169
0.259259, 0.665921, 0.665921
0.260260, 0.665665, 0.665665
0.261261, 0.665402, 0.665402
0.262262, 0.665132, 0.665132
0.263263, 0.664854, 0.664854
0.264264, 0.664569, 0.664569
0.265265, 0.664277, 0.664277
0.266266, 0.663978, 0.663978
0.267267, 0.663672, 0.663672
0.268268, 0.663359, 0.663359
0.269269, 0.663039, 0.663039
0.270270, 0.662712, 0.662712
0.271271, 0.662379, 0.662379
0.272272, 0.662039, 0.662039
0.273273, 0.661692, 0.661692
0.274274, 0.661339, 0.661339
0.275275, 0.660980, 0.660980
0.276276, 0.660614, 0.660614
0.277277, 0.660241, 0.660241
0.278278, 0.659863, 0.659863
0.279279, 0.659478, 0.659478
0.280280, 0.659087, 0.659087
0.281281, 0.658690, 0.658690
0.282282, 0.658287, 0.658287
0.283283, 0.657878, 0.657878
0.284284, 0.657463, 0.657463
0.285285, 0.657043, 0.657043
0.286286, 0.656616, 0.656616
0.287287, 0.656184, 0.656184
0.288288, 0.655746, 0.655746
0.289289, 0.655303, 0.655303
0.290290, 0.654854, 0.654854
0.291291, 0.654399, 0.654399
0.292292, 0.653939, 0.653939
0.293293, 0.653474, 0.653474
0.294294, 0.653003, 0.653003
0.295295, 0.652527, 0.652527
0.296296, 0.652046, 0.652046
0.297297, 0.651560, 0.651560
0.298298, 0.651068, 0.651068
0.299299, 0.650572, 0.650572
0.300300, 0.650070, 0.650070
0.301301, 0.649564, 0.649564
0.302302, 0.649052, 0.649052
0.303303, 0.648536, 0.648536
0.304304, 0.648015, 0.648015
0.305305, 0.647489, 0.647489
0.306306, 0.646958, 0.646958
0.307307, 0.646423, 0.646423
0.308308, 0.645883, 0.645883
0.309309, 0.645338, 0.645338
0.310310, 0.644789, 0.644789
0.311311, 0.644235, 0.644235
0.312312, 0.643677, 0.643677
0.313313, 0.643115, 0.643115
0.314314, 0.642548, 0.642548
0.315315, 0.641976, 0.641976
0.316316, 0.641401, 0.641401
0.317317, 0.640821, 0.640821
0.318318, 0.640237, 0.640237
0.319319, 0.639649, 0.639649
0.320320, 0.639057, 0.639057
0.321321, 0.638461, 0.638461
0.322322, 0.637861, 0.637861
0.323323, 0.637256, 0.637256
0.324324, 0.636648, 0.636648
0.325325, 0.636036, 0.636036
0.326326, 0.635420, 0.635420
0.327327, 0.634800, 0.634800
0.328328, 0.634176, 0.634176
0.329329, 0.633549, 0.633549
0.330330, 0.632918, 0.632918
0.331331, 0.632283, 0.632283
0.332332, 0.631645, 0.631645
0.333333, 0.631003, 0.631003
0.334334, 0.630357, 0.630357
0.335335, 0.629708, 0.629708
0.336336, 0.629055, 0.629055
0.337337, 0.628399, 0.628399
0.338338, 0.627739, 0.627739
0.339339, 0.627076, 0.627076
0.340340, 0.626410, 0.626410
0.341341, 0.625740, 0.625740
0.342342, 0.625067, 0.625067
0.343343, 0.624391, 0.624391
0.344344, 0.623712, 0.623712
0.345345, 0.623029, 0.623029
0.346346, 0.622343, 0.622343
0.347347, 0.621654, 0.621654
0.348348, 0.620962, 0.620962
0.349349, 0.620267, 0.620267
0.350350, 0.619569, 0.619569
0.351351, 0.618867, 0.618867
0.352352, 0.618163, 0.618163
0.353353, 0.617456, 0.617456
0.354354, 0.616746, 0.616746
0.355355, 0.616033, 0.616033
0.356356, 0.615317, 0.615317
0.357357, 0.614598, 0.614598
0.358358, 0.613877, 0.613877
0.359359, 0.613153, 0.613153
0.360360, 0.612425, 0.612425
0.361361, 0.611696, 0.611696
0.362362, 0.610963, 0.610963
0.363363, 0.610228, 0.610228
0.364364, 0.609490, 0.609490
0.365365, 0.608750, 0.608750
0.366366, 0.608007, 0.608007
0.367367, 0.607261, 0.607261
0.368368, 0.606513, 0.606513
0.369369, 0.605762, 0.605762
0.370370, 0.605009, 0.605009
0.371371, 0.604254, 0.604254
0.372372, 0.603496, 0.603496
0.373373, 0.602735, 0.602735
0.374374, 0.601972, 0.601972
0.375375, 0.601207, 0.601207
0.376376, 0.600439, 0.600439
0.377377, 0.599670, 0.599670
0.378378, 0.598897, 0.598897
0.379379, 0.598123, 0.598123
0.380380, 0.597346, 0.597346
0.381381, 0.596567, 0.596567
0.382382, 0.595786, 0.595786
0.383383, 0.595003, 0.595003
0.384384, 0.594217, 0.594217
0.385385, 0.593429, 0.593429
0.386386, 0.592639, 0.592639
0.387387, 0.591848, 0.591848
0.388388, 0.591054, 0.591054
0.389389, 0.590257, 0.590257
0.390390, 0.589459, 0.589459
0.391391, 0.588659, 0.588659
0.392392, 0.587857, 0.587857
0.393393, 0.587053, 0.587053
0.394394, 0.586247, 0.586247
0.395395, 0.585439, 0.585439
0.396396, 0.584629, 0.584629
0.397397, 0.583817, 0.583817
0.398398, 0.583003, 0.583003
0.399399, 0.582188, 0.582188
