x, f, u_gen, u_spec, u_LU
0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00, 0.0000000000e+00, 2.5507601265e-03
1.0101010101e-02, 6.2396617880e+01, 1.6278804253e-01, -1.4075719290e+146, 6.3663521967e-03
2.0202020202e-02, -7.5871985629e+00, 2.3123399347e-01, -2.8151438579e+146, -7.7412494265e-04
3.0303030303e-02, 1.1867972415e+02, 2.9214421627e-01, -4.2227157869e+146, 1.2108940327e-02
4.0404040404e-02, -2.5743348616e+02, 3.4624271429e-01, -5.6302877158e+146, -2.6266042869e-02
5.0505050505e-02, 1.2428448828e+03, 3.9418393145e-01, -7.0378596448e+146, 1.2680796682e-01
6.0606060606e-02, -6.3008432054e+03, 4.3655943528e-01, -8.4454315737e+146, -6.4287758447e-01
7.0707070707e-02, 3.9208508411e+04, 4.7390395780e-01, -9.8530035027e+146, 4.0004599950e+00
8.0808080808e-02, -2.8115402132e+05, 5.0670085605e-01, -1.1260575432e+147, -2.8686258679e+01
9.0909090909e-02, 2.2951243670e+06, 5.3538704804e-01, -1.2668147361e+147, 2.3417246883e+02
1.0101010101e-01, -2.1001587135e+07, 5.6035747437e-01, -1.4075719290e+147, -2.1428004423e+03
1.1111111111e-01, 2.1296367143e+08, 5.8196913131e-01, -1.5483291219e+147, 2.1728769659e+04
1.2121212121e-01, -2.3705712329e+09, 6.0054471632e-01, -1.6890863147e+147, -2.4187034312e+05
1.3131313131e-01, 2.8739365777e+10, 6.1637592334e-01, -1.8298435076e+147, 2.9322891314e+06
1.4141414141e-01, -3.7695502010e+11, 6.2972642150e-01, -1.9706007005e+147, -3.8460873391e+07
1.5151515152e-01, 5.3188425803e+12, 6.4083454762e-01, -2.1113578934e+147, 5.4268366292e+08
1.6161616162e-01, -8.0337646692e+13, 6.4991574006e-01, -2.2521150863e+147, -8.1968826336e+09
1.7171717172e-01, 1.2933738154e+15, 6.5716473871e-01, -2.3928722792e+147, 1.3196345428e+11
1.8181818182e-01, -2.2109676489e+16, 6.6275757358e-01, -2.5336294721e+147, -2.2558592479e+12
1.9191919192e-01, 3.9997153465e+17, 6.6685336243e-01, -2.6743866650e+147, 4.0809257693e+13
2.0202020202e-01, -7.6340414079e+18, 6.6959593560e-01, -2.8151438579e+147, -7.7890433709e+14
2.1212121212e-01, 1.5331370138e+20, 6.7111530478e-01, -2.9559010508e+147, 1.5642659053e+16
2.2222222222e-01, -3.2317946857e+21, 6.7152899063e-01, -3.0966582437e+147, -3.2974132085e+17
2.3232323232e-01, 7.1347000681e+22, 6.7094322288e-01, -3.2374154366e+147, 7.2795633793e+18
2.4242424242e-01, -1.6462447846e+24, 6.6945402515e-01, -3.3781726295e+147, -1.6796702220e+20
2.5252525253e-01, 3.9627027841e+25, 6.6714819545e-01, -3.5189298224e+147, 4.0431617020e+21
2.6262626263e-01, -9.9339920182e+26, 6.6410419260e-01, -3.6596870153e+147, -1.0135692295e+23
2.7272727273e-01, 2.5894394247e+28, 6.6039293740e-01, -3.8004442082e+147, 2.6420155338e+24
2.8282828283e-01, -7.0081427516e+29, 6.5607853685e-01, -3.9412014011e+147, -7.1504364367e+25
2.9292929293e-01, 1.9666478711e+31, 6.5121893880e-01, -4.0819585940e+147, 2.0065787890e+27
3.0303030303e-01, -5.7151668455e+32, 6.4586652369e-01, -4.2227157869e+147, -5.8312078824e+28
3.1313131313e-01, 1.7179036960e+34, 6.4006863948e-01, -4.3634729798e+147, 1.7527840996e+30
3.2323232323e-01, -5.3352954812e+35, 6.3386808508e-01, -4.5042301727e+147, -5.4436235906e+31
3.3333333333e-01, 1.7102521880e+37, 6.2730354749e-01, -4.6449873656e+147, 1.7449772350e+33
3.4343434343e-01, -5.6530579356e+38, 6.2040999678e-01, -4.7857445584e+147, -5.7678379100e+34
3.5353535354e-01, 1.9250092453e+40, 6.1321904325e-01, -4.9265017513e+147, 1.9640947304e+36
3.6363636364e-01, -6.7473861522e+41, 6.0575926021e-01, -5.0672589442e+147, -6.8843854221e+37
3.7373737374e-01, 2.4324268605e+43, 5.9805647574e-01, -5.2080161371e+147, 2.4818149786e+39
3.8383838384e-01, -9.0118253574e+44, 5.9013403648e-01, -5.3487733300e+147, -9.1948019155e+40
3.9393939394e-01, 3.4287782693e+46, 5.8201304600e-01, -5.4895305229e+147, 3.4983963568e+42
4.0404040404e-01, -1.3388159316e+48, 5.7371258032e-01, -5.6302877158e+147, -1.3659993180e+44
4.1414141414e-01, 5.3613406208e+49, 5.6524988273e-01, -5.7710449087e+147, 5.4701975521e+45
4.2424242424e-01, -2.2005292480e+51, 5.5664053983e-01, -5.9118021016e+147, -2.2452089053e+47
4.3434343434e-01, 9.2517779953e+52, 5.4789864072e-01, -6.0525592945e+147, 9.4396265639e+48
4.4444444444e-01, -3.9821966005e+54, 5.3903692091e-01, -6.1933164874e+147, -4.0630513218e+50
4.5454545455e-01, 1.7538237910e+56, 5.3006689228e-01, -6.3340736803e+147, 1.7894335180e+52
4.6464646465e-01, -7.8993574165e+57, 5.2099896073e-01, -6.4748308732e+147, -8.0597463692e+53
4.7474747475e-01, 3.6368607236e+59, 5.1184253239e-01, -6.6155880661e+147, 3.7107037278e+55
4.8484848485e-01, -1.7107492740e+61, 5.0260610968e-01, -6.7563452590e+147, -1.7454844138e+57
4.9494949495e-01, 8.2181697360e+62, 4.9329737815e-01, -6.8971024519e+147, 8.3850318702e+58
5.0505050505e-01, -4.0300013842e+64, 4.8392328496e-01, -7.0378596448e+147, -4.1118267362e+60
5.1515151515e-01, 2.0164919044e+66, 4.7449010979e-01, -7.1786168377e+147, 2.0574348581e+62
5.2525252525e-01, -1.0291434880e+68, 4.6500352901e-01, -7.3193740306e+147, -1.0500392695e+64
5.3535353535e-01, 5.3552184974e+69, 4.5546867362e-01, -7.4601312235e+147, 5.4639511247e+65
5.4545454545e-01, -2.8401432739e+71, 4.4589018166e-01, -7.6008884164e+147, -2.8978096867e+67
5.5555555556e-01, 1.5346559465e+73, 4.3627224556e-01, -7.7416456093e+147, 1.5658156785e+69
5.6565656566e-01, -8.4458059245e+74, 4.2661865496e-01, -7.8824028021e+147, -8.6172899954e+70
5.7575757576e-01, 4.7324644932e+76, 4.1693283541e-01, -8.0231599950e+147, 4.8285526917e+72
