x, f, u_gen, u_spec, u_LU
0.0000000000e+00, -1.0000000000e+02, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00
1.1111111111e-01, -1.4958596545e+02, 1.2702709994e+00, 4.8446560584e-01, 6.1812382416e-01
2.2222222222e-01, -1.7830580893e+02, 1.2201230381e+00, 2.6731643664e-01, 9.8240115112e-01
3.3333333333e-01, -1.9579929761e+02, 1.0804147270e+00, 1.0726270717e+00, 1.2136320100e+00
4.4444444444e-01, -2.0686416456e+02, 9.1122377685e-01, 1.8800658434e-01, 1.3676969558e+00
5.5555555556e-01, -2.1411380241e+02, 7.3232734859e-01, 1.4746129643e+00, 1.4746129643e+00
6.6666666667e-01, -2.1902112166e+02, 5.5023594501e-01, 0.0000000000e+00, 1.5515073553e+00
7.7777777778e-01, -2.2243993717e+02, 3.6709277795e-01, 0.0000000000e+00, 1.6085532647e+00
8.8888888889e-01, -2.2488039757e+02, 1.8360337774e-01, 1.6726641142e+00, 1.6520139399e+00
1.0000000000e+00, -4.5399929762e-03, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00
