x, u_gen, u_spec
0.000000, 0.000000, 0.000000
0.000316, 0.002842, 0.002842
0.000633, 0.005674, 0.005674
0.000949, 0.008497, 0.008497
0.001265, 0.011309, 0.011309
0.001582, 0.014112, 0.014112
0.001898, 0.016904, 0.016904
0.002214, 0.019687, 0.019687
0.002531, 0.022460, 0.022460
0.002847, 0.025223, 0.025223
0.003164, 0.027977, 0.027977
0.003480, 0.030721, 0.030721
0.003796, 0.033455, 0.033455
0.004113, 0.036180, 0.036180
0.004429, 0.038895, 0.038895
0.004745, 0.041600, 0.041600
0.005062, 0.044296, 0.044296
0.005378, 0.046982, 0.046982
0.005694, 0.049659, 0.049659
0.006011, 0.052326, 0.052326
0.006327, 0.054984, 0.054984
0.006643, 0.057633, 0.057633
0.006960, 0.060272, 0.060272
0.007276, 0.062902, 0.062902
0.007593, 0.065522, 0.065522
0.007909, 0.068134, 0.068134
0.008225, 0.070736, 0.070736
0.008542, 0.073328, 0.073328
0.008858, 0.075912, 0.075912
0.009174, 0.078487, 0.078487
0.009491, 0.081052, 0.081052
0.009807, 0.083608, 0.083608
0.010123, 0.086155, 0.086155
0.010440, 0.088693, 0.088693
0.010756, 0.091222, 0.091222
0.011072, 0.093743, 0.093743
0.011389, 0.096254, 0.096254
0.011705, 0.098756, 0.098756
0.012022, 0.101249, 0.101249
0.012338, 0.103734, 0.103734
0.012654, 0.106209, 0.106209
0.012971, 0.108676, 0.108676
0.013287, 0.111134, 0.111134
0.013603, 0.113583, 0.113583
0.013920, 0.116024, 0.116024
0.014236, 0.118456, 0.118456
0.014552, 0.120879, 0.120879
0.014869, 0.123293, 0.123293
0.015185, 0.125699, 0.125699
0.015501, 0.128096, 0.128096
0.015818, 0.130485, 0.130485
0.016134, 0.132865, 0.132865
0.016450, 0.135237, 0.135237
0.016767, 0.137600, 0.137600
0.017083, 0.139954, 0.139954
0.017400, 0.142300, 0.142300
0.017716, 0.144638, 0.144638
0.018032, 0.146968, 0.146968
0.018349, 0.149289, 0.149289
0.018665, 0.151601, 0.151601
0.018981, 0.153906, 0.153906
0.019298, 0.156202, 0.156202
0.019614, 0.158490, 0.158490
0.019930, 0.160770, 0.160770
0.020247, 0.163041, 0.163041
0.020563, 0.165304, 0.165304
0.020879, 0.167559, 0.167559
0.021196, 0.169807, 0.169807
0.021512, 0.172045, 0.172045
0.021829, 0.174276, 0.174276
0.022145, 0.176499, 0.176499
0.022461, 0.178714, 0.178714
0.022778, 0.180921, 0.180921
0.023094, 0.183120, 0.183120
0.023410, 0.185310, 0.185310
0.023727, 0.187493, 0.187493
0.024043, 0.189668, 0.189668
0.024359, 0.191836, 0.191836
0.024676, 0.193995, 0.193995
0.024992, 0.196146, 0.196146
0.025308, 0.198290, 0.198290
0.025625, 0.200426, 0.200426
0.025941, 0.202554, 0.202554
0.026258, 0.204675, 0.204675
0.026574, 0.206788, 0.206788
0.026890, 0.208893, 0.208893
0.027207, 0.210990, 0.210990
0.027523, 0.213080, 0.213080
0.027839, 0.215162, 0.215162
0.028156, 0.217237, 0.217237
0.028472, 0.219304, 0.219304
0.028788, 0.221364, 0.221364
0.029105, 0.223416, 0.223416
0.029421, 0.225461, 0.225461
0.029737, 0.227498, 0.227498
0.030054, 0.229527, 0.229527
0.030370, 0.231550, 0.231550
0.030686, 0.233565, 0.233565
0.031003, 0.235572, 0.235572
0.031319, 0.237573, 0.237573
0.031636, 0.239565, 0.239565
0.031952, 0.241551, 0.241551
0.032268, 0.243529, 0.243529
0.032585, 0.245500, 0.245500
0.032901, 0.247464, 0.247464
0.033217, 0.249421, 0.249421
0.033534, 0.251371, 0.251371
0.033850, 0.253313, 0.253313
0.034166, 0.255248, 0.255248
0.034483, 0.257176, 0.257176
0.034799, 0.259097, 0.259097
0.035115, 0.261011, 0.261011
0.035432, 0.262918, 0.262918
0.035748, 0.264818, 0.264818
0.036065, 0.266711, 0.266711
0.036381, 0.268597, 0.268597
0.036697, 0.270475, 0.270475
0.037014, 0.272347, 0.272347
0.037330, 0.274213, 0.274213
0.037646, 0.276071, 0.276071
0.037963, 0.277922, 0.277922
0.038279, 0.279767, 0.279767
0.038595, 0.281604, 0.281604
0.038912, 0.283435, 0.283435
0.039228, 0.285259, 0.285259
0.039544, 0.287076, 0.287076
