x, u_gen, u_spec
0.018702, 0.151871, 0.151871
0.018802, 0.152600, 0.152600
0.018902, 0.153328, 0.153328
0.019002, 0.154056, 0.154056
0.019102, 0.154782, 0.154782
0.019202, 0.155508, 0.155508
0.019302, 0.156233, 0.156233
0.019402, 0.156957, 0.156957
0.019502, 0.157680, 0.157680
0.019602, 0.158403, 0.158403
0.019702, 0.159124, 0.159124
0.019802, 0.159845, 0.159845
0.019902, 0.160565, 0.160565
0.020002, 0.161285, 0.161285
0.020102, 0.162003, 0.162003
0.020202, 0.162720, 0.162720
0.020302, 0.163437, 0.163437
0.020402, 0.164153, 0.164153
0.020502, 0.164868, 0.164868
0.020602, 0.165583, 0.165583
0.020702, 0.166296, 0.166296
0.020802, 0.167009, 0.167009
0.020902, 0.167721, 0.167721
0.021002, 0.168432, 0.168432
0.021102, 0.169142, 0.169142
0.021202, 0.169851, 0.169851
0.021302, 0.170560, 0.170560
0.021402, 0.171268, 0.171268
0.021502, 0.171975, 0.171975
0.021602, 0.172681, 0.172681
0.021702, 0.173386, 0.173386
0.021802, 0.174091, 0.174091
0.021902, 0.174795, 0.174795
0.022002, 0.175498, 0.175498
0.022102, 0.176200, 0.176200
0.022202, 0.176901, 0.176901
0.022302, 0.177602, 0.177602
0.022402, 0.178302, 0.178302
0.022502, 0.179001, 0.179001
0.022602, 0.179699, 0.179699
0.022702, 0.180396, 0.180396
0.022802, 0.181093, 0.181093
0.022902, 0.181788, 0.181788
0.023002, 0.182483, 0.182483
0.023102, 0.183178, 0.183178
0.023202, 0.183871, 0.183871
0.023302, 0.184564, 0.184564
0.023402, 0.185255, 0.185255
0.023502, 0.185946, 0.185946
0.023602, 0.186637, 0.186637
0.023702, 0.187326, 0.187326
0.023802, 0.188015, 0.188015
0.023902, 0.188703, 0.188703
0.024002, 0.189390, 0.189390
0.024102, 0.190076, 0.190076
0.024202, 0.190761, 0.190761
0.024302, 0.191446, 0.191446
0.024402, 0.192130, 0.192130
0.024502, 0.192813, 0.192813
0.024602, 0.193496, 0.193496
0.024702, 0.194177, 0.194177
0.024802, 0.194858, 0.194858
0.024902, 0.195538, 0.195538
0.025003, 0.196217, 0.196217
0.025103, 0.196896, 0.196896
0.025203, 0.197573, 0.197573
0.025303, 0.198250, 0.198250
0.025403, 0.198926, 0.198926
0.025503, 0.199602, 0.199602
0.025603, 0.200276, 0.200276
0.025703, 0.200950, 0.200950
0.025803, 0.201623, 0.201623
0.025903, 0.202296, 0.202296
0.026003, 0.202967, 0.202967
0.026103, 0.203638, 0.203638
0.026203, 0.204308, 0.204308
0.026303, 0.204977, 0.204977
0.026403, 0.205645, 0.205645
0.026503, 0.206313, 0.206313
