x, f, u_gen, u_spec, u_LU
0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00, 0.0000000000e+00, 3.0864197531e-01
1.1111111111e-01, 3.6853021680e+01, 6.2962936683e-01, -1.2290338089e+02, 4.5497557630e-01
2.2222222222e-01, -3.1287851476e+01, 6.0745081922e-01, -2.4478306674e+02, -3.8626977131e-01
3.3333333333e-01, 8.5126865886e+01, 5.4123030452e-01, -3.6786130192e+02, 1.0509489616e+00
4.4444444444e-01, -2.6495419836e+02, 4.6051148308e-01, -4.8883962814e+02, -3.2710394859e+00
5.5555555556e-01, 1.1318115564e+03, 3.7501992073e-01, -6.1575983204e+02, 1.3972982178e+01
6.6666666667e-01, -5.8880326134e+03, 2.8795720553e-01, -7.1989301715e+02, -7.2691760660e+01
7.7777777778e-01, 3.6466864601e+04, 2.0037727784e-01, -9.3481952713e+02, 4.5020820495e+02
8.8888888889e-01, 7.4006341433e+00, 1.1262708742e-01, -4.9857041447e+02, 9.1365853621e-02
1.0000000000e+00, 3.7520603109e-03, 0.0000000000e+00, 0.0000000000e+00, 4.6321732234e-05
