CPU time for the diffenrent
CPU-time for method: general_tridiagonal, 1.0300000000e-04 s
CPU-time for method: specific_tridiagonal, 8.9000000000e-05 s
CPU-time for method: LU-decomposition, 5.3478000000e-02 s
