x, u_gen, u_spec
0.000000, 0.000000, 0.000000
0.003175, 0.028071, 0.028071
0.006349, 0.055165, 0.055165
0.009524, 0.081313, 0.081313
0.012698, 0.106546, 0.106546
0.015873, 0.130890, 0.130890
0.019048, 0.154375, 0.154375
0.022222, 0.177027, 0.177027
0.025397, 0.198871, 0.198871
0.028571, 0.219934, 0.219934
0.031746, 0.240240, 0.240240
0.034921, 0.259812, 0.259812
0.038095, 0.278673, 0.278673
0.041270, 0.296845, 0.296845
0.044444, 0.314351, 0.314351
0.047619, 0.331210, 0.331210
0.050794, 0.347443, 0.347443
0.053968, 0.363070, 0.363070
0.057143, 0.378110, 0.378110
0.060317, 0.392580, 0.392580
0.063492, 0.406499, 0.406499
0.066667, 0.419884, 0.419884
0.069841, 0.432751, 0.432751
0.073016, 0.445118, 0.445118
0.076190, 0.456998, 0.456998
0.079365, 0.468408, 0.468408
0.082540, 0.479363, 0.479363
0.085714, 0.489876, 0.489876
0.088889, 0.499961, 0.499961
0.092063, 0.509632, 0.509632
0.095238, 0.518901, 0.518901
0.098413, 0.527782, 0.527782
0.101587, 0.536286, 0.536286
0.104762, 0.544425, 0.544425
0.107937, 0.552211, 0.552211
0.111111, 0.559654, 0.559654
0.114286, 0.566765, 0.566765
0.117460, 0.573555, 0.573555
0.120635, 0.580034, 0.580034
0.123810, 0.586211, 0.586211
0.126984, 0.592096, 0.592096
0.130159, 0.597697, 0.597697
0.133333, 0.603025, 0.603025
0.136508, 0.608087, 0.608087
0.139683, 0.612891, 0.612891
0.142857, 0.617446, 0.617446
0.146032, 0.621760, 0.621760
0.149206, 0.625840, 0.625840
0.152381, 0.629693, 0.629693
0.155556, 0.633326, 0.633326
0.158730, 0.636747, 0.636747
0.161905, 0.639962, 0.639962
0.165079, 0.642977, 0.642977
0.168254, 0.645798, 0.645798
0.171429, 0.648432, 0.648432
0.174603, 0.650885, 0.650885
0.177778, 0.653162, 0.653162
0.180952, 0.655269, 0.655269
0.184127, 0.657210, 0.657210
0.187302, 0.658992, 0.658992
0.190476, 0.660619, 0.660619
0.193651, 0.662096, 0.662096
0.196825, 0.663427, 0.663427
0.200000, 0.664618, 0.664618
0.203175, 0.665672, 0.665672
0.206349, 0.666595, 0.666595
0.209524, 0.667389, 0.667389
0.212698, 0.668059, 0.668059
0.215873, 0.668609, 0.668609
0.219048, 0.669043, 0.669043
0.222222, 0.669364, 0.669364
0.225397, 0.669575, 0.669575
0.228571, 0.669681, 0.669681
0.231746, 0.669685, 0.669685
0.234921, 0.669589, 0.669589
0.238095, 0.669397, 0.669397
0.241270, 0.669112, 0.669112
0.244444, 0.668736, 0.668736
0.247619, 0.668273, 0.668273
0.250794, 0.667726, 0.667726
0.253968, 0.667096, 0.667096
0.257143, 0.666387, 0.666387
0.260317, 0.665600, 0.665600
0.263492, 0.664739, 0.664739
0.266667, 0.663806, 0.663806
0.269841, 0.662803, 0.662803
0.273016, 0.661732, 0.661732
0.276190, 0.660595, 0.660595
0.279365, 0.659395, 0.659395
0.282540, 0.658133, 0.658133
0.285714, 0.656811, 0.656811
0.288889, 0.655431, 0.655431
0.292063, 0.653995, 0.653995
0.295238, 0.652505, 0.652505
0.298413, 0.650963, 0.650963
0.301587, 0.649369, 0.649369
0.304762, 0.647726, 0.647726
0.307937, 0.646035, 0.646035
0.311111, 0.644297, 0.644297
0.314286, 0.642515, 0.642515
0.317460, 0.640690, 0.640690
0.320635, 0.638822, 0.638822
0.323810, 0.636913, 0.636913
0.326984, 0.634965, 0.634965
0.330159, 0.632978, 0.632978
0.333333, 0.630955, 0.630955
0.336508, 0.628895, 0.628895
0.339683, 0.626801, 0.626801
0.342857, 0.624673, 0.624673
0.346032, 0.622512, 0.622512
0.349206, 0.620319, 0.620319
0.352381, 0.618096, 0.618096
0.355556, 0.615843, 0.615843
0.358730, 0.613562, 0.613562
0.361905, 0.611252, 0.611252
0.365079, 0.608916, 0.608916
0.368254, 0.606553, 0.606553
0.371429, 0.604165, 0.604165
0.374603, 0.601752, 0.601752
0.377778, 0.599316, 0.599316
0.380952, 0.596856, 0.596856
0.384127, 0.594374, 0.594374
0.387302, 0.591871, 0.591871
0.390476, 0.589346, 0.589346
0.393651, 0.586802, 0.586802
0.396825, 0.584237, 0.584237
0.400000, 0.581654, 0.581654
0.403175, 0.579052, 0.579052
0.406349, 0.576432, 0.576432
0.409524, 0.573795, 0.573795
0.412698, 0.571141, 0.571141
0.415873, 0.568471, 0.568471
0.419048, 0.565785, 0.565785
0.422222, 0.563084, 0.563084
0.425397, 0.560368, 0.560368
0.428571, 0.557637, 0.557637
0.431746, 0.554893, 0.554893
0.434921, 0.552136, 0.552136
0.438095, 0.549365, 0.549365
0.441270, 0.546582, 0.546582
0.444444, 0.543786, 0.543786
0.447619, 0.540979, 0.540979
0.450794, 0.538160, 0.538160
0.453968, 0.535331, 0.535331
0.457143, 0.532490, 0.532490
0.460317, 0.529639, 0.529639
0.463492, 0.526778, 0.526778
0.466667, 0.523907, 0.523907
0.469841, 0.521027, 0.521027
0.473016, 0.518137, 0.518137
0.476190, 0.515239, 0.515239
0.479365, 0.512331, 0.512331
0.482540, 0.509416, 0.509416
0.485714, 0.506493, 0.506493
0.488889, 0.503561, 0.503561
0.492063, 0.500622, 0.500622
0.495238, 0.497676, 0.497676
0.498413, 0.494723, 0.494723
0.501587, 0.491762, 0.491762
0.504762, 0.488795, 0.488795
0.507937, 0.485822, 0.485822
0.511111, 0.482842, 0.482842
0.514286, 0.479856, 0.479856
0.517460, 0.476865, 0.476865
0.520635, 0.473867, 0.473867
0.523810, 0.470864, 0.470864
0.526984, 0.467856, 0.467856
0.530159, 0.464843, 0.464843
0.533333, 0.461824, 0.461824
0.536508, 0.458801, 0.458801
0.539683, 0.455773, 0.455773
0.542857, 0.452740, 0.452740
0.546032, 0.449703, 0.449703
0.549206, 0.446662, 0.446662
0.552381, 0.443616, 0.443616
0.555556, 0.440567, 0.440567
0.558730, 0.437513, 0.437513
0.561905, 0.434456, 0.434456
0.565079, 0.431395, 0.431395
0.568254, 0.428331, 0.428331
0.571429, 0.425263, 0.425263
0.574603, 0.422192, 0.422192
0.577778, 0.419118, 0.419118
0.580952, 0.416040, 0.416040
0.584127, 0.412960, 0.412960
0.587302, 0.409876, 0.409876
0.590476, 0.406790, 0.406790
0.593651, 0.403701, 0.403701
0.596825, 0.400609, 0.400609
0.600000, 0.397515, 0.397515
0.603175, 0.394418, 0.394418
0.606349, 0.391319, 0.391319
0.609524, 0.388218, 0.388218
0.612698, 0.385114, 0.385114
0.615873, 0.382008, 0.382008
0.619048, 0.378900, 0.378900
0.622222, 0.375790, 0.375790
0.625397, 0.372677, 0.372677
0.628571, 0.369563, 0.369563
0.631746, 0.366447, 0.366447
0.634921, 0.363330, 0.363330
0.638095, 0.360210, 0.360210
0.641270, 0.357089, 0.357089
0.644444, 0.353966, 0.353966
0.647619, 0.350841, 0.350841
