x, f, u_gen, u_spec, u_LU
7.6076076076e-02, -7.0747731349e+04, 4.6311828590e-01, 4.0821477078e-03, 6.9689480992e-02
7.7077077077e-02, -7.2233999022e+04, 4.6674814325e-01, 6.6470587669e-02, 7.1165519906e-02
7.8078078078e-02, -7.3728352397e+04, 4.7033182736e-01, 4.7559053826e-03, 7.2649710044e-02
7.9079079079e-02, -7.5230605625e+04, 4.7386979811e-01, 6.8764238054e-02, 7.4141865183e-02
8.0080080080e-02, -7.6740575304e+04, 4.7736251083e-01, 5.4456983578e-03, 7.5641801549e-02
8.1081081081e-02, -7.8258080449e+04, 4.8081041627e-01, 7.1073554481e-02, 7.7149337790e-02
8.2082082082e-02, -7.9782942472e+04, 4.8421396073e-01, 6.1507929794e-03, 7.8664294947e-02
8.3083083083e-02, -8.1314985145e+04, 4.8757358605e-01, 7.3397812967e-02, 8.0186496428e-02
8.4084084084e-02, -8.2854034578e+04, 4.9088972965e-01, 6.8704748277e-03, 8.1715767978e-02
8.5085085085e-02, -8.4399919192e+04, 4.9416282463e-01, 7.5736308545e-02, 8.3251937655e-02
8.6086086086e-02, -8.5952469690e+04, 4.9739329975e-01, 7.6040482760e-03, 8.4794835801e-02
8.7087087087e-02, -8.7511519032e+04, 5.0058157951e-01, 7.8088354822e-02, 8.6344295018e-02
8.8088088088e-02, -8.9076902410e+04, 5.0372808417e-01, 8.3508360599e-03, 8.7900150138e-02
8.9089089089e-02, -9.0648457220e+04, 5.0683322982e-01, 8.0453283556e-02, 8.9462238201e-02
9.0090090090e-02, -9.2226023037e+04, 5.0989742840e-01, 9.1101788546e-03, 9.1030398429e-02
9.1091091091e-02, -9.3809441590e+04, 5.1292108775e-01, 8.2830444236e-02, 9.2604472198e-02
9.2092092092e-02, -9.5398556738e+04, 5.1590461163e-01, 9.8814348623e-03, 9.4184303015e-02
9.3093093093e-02, -9.6993214445e+04, 5.1884839980e-01, 8.5219203676e-02, 9.5769736495e-02
9.4094094094e-02, -9.8593262752e+04, 5.2175284804e-01, 1.0663979408e-02, 9.7360620332e-02
9.5095095095e-02, -1.0019855176e+05, 5.2461834816e-01, 8.7618945615e-02, 9.8956804280e-02
9.6096096096e-02, -1.0180893360e+05, 5.2744528810e-01, 1.1457204545e-02, 1.0055814012e-01
9.7097097097e-02, -1.0342426240e+05, 5.3023405192e-01, 9.0029070323e-02, 1.0216448166e-01
9.8098098098e-02, -1.0504439430e+05, 5.3298501986e-01, 1.2260518669e-02, 1.0377568467e-01
9.9099099099e-02, -1.0666918738e+05, 5.3569856836e-01, 9.2448994224e-02, 1.0539160690e-01
1.0010010010e-01, -1.0829850166e+05, 5.3837507013e-01, 1.3073346136e-02, 1.0701210804e-01
1.0110110110e-01, -1.0993219908e+05, 5.4101489415e-01, 9.4878149519e-02, 1.0863704968e-01
1.0210210210e-01, -1.1157014347e+05, 5.4361840574e-01, 1.3895126898e-02, 1.1026629534e-01
1.0310310310e-01, -1.1321220055e+05, 5.4618596657e-01, 9.7315983818e-02, 1.1189971038e-01
1.0410410410e-01, -1.1485823786e+05, 5.4871793472e-01, 1.4725316138e-02, 1.1353716202e-01
1.0510510511e-01, -1.1650812480e+05, 5.5121466469e-01, 9.9761959787e-02, 1.1517851933e-01
1.0610610611e-01, -1.1816173254e+05, 5.5367650745e-01, 1.5563383917e-02, 1.1682365315e-01
1.0710710711e-01, -1.1981893407e+05, 5.5610381048e-01, 1.0221555480e-01, 1.1847243615e-01
1.0810810811e-01, -1.2147960413e+05, 5.5849691781e-01, 1.6408814826e-02, 1.2012474274e-01
1.0910910911e-01, -1.2314361919e+05, 5.6085617003e-01, 1.0467626058e-01, 1.2178044907e-01
1.1011011011e-01, -1.2481085747e+05, 5.6318190433e-01, 1.7261107651e-02, 1.2343943303e-01
1.1111111111e-01, -1.2648119888e+05, 5.6547445455e-01, 1.0714358288e-01, 1.2510157421e-01
1.1211211211e-01, -1.2815452501e+05, 5.6773415121e-01, 1.8119775038e-02, 1.2676675389e-01
1.1311311311e-01, -1.2983071912e+05, 5.6996132154e-01, 1.0961704117e-01, 1.2843485501e-01
1.1411411411e-01, -1.3150966610e+05, 5.7215628950e-01, 1.8984343171e-02, 1.3010576215e-01
1.1511511512e-01, -1.3319125248e+05, 5.7431937583e-01, 1.1209616827e-01, 1.3177936152e-01
1.1611611612e-01, -1.3487536639e+05, 5.7645089807e-01, 1.9854351456e-02, 1.3345554094e-01
1.1711711712e-01, -1.3656189755e+05, 5.7855117060e-01, 1.1458051009e-01, 1.3513418982e-01
1.1811811812e-01, -1.3825073723e+05, 5.8062050467e-01, 2.0729352206e-02, 1.3681519912e-01
1.1911911912e-01, -1.3994177828e+05, 5.8265920844e-01, 1.1706962528e-01, 1.3849846137e-01
1.2012012012e-01, -1.4163491504e+05, 5.8466758697e-01, 2.1608910347e-02, 1.4018387063e-01
1.2112112112e-01, -1.4333004340e+05, 5.8664594232e-01, 1.1956308495e-01, 1.4187132246e-01
1.2212212212e-01, -1.4502706072e+05, 5.8859457352e-01, 2.2492603112e-02, 1.4356071394e-01
1.2312312312e-01, -1.4672586585e+05, 5.9051377661e-01, 1.2206047239e-01, 1.4525194360e-01
1.2412412412e-01, -1.4842635909e+05, 5.9240384472e-01, 2.3380019756e-02, 1.4694491145e-01
1.2512512513e-01, -1.5012844219e+05, 5.9426506801e-01, 1.2456138276e-01, 1.4863951894e-01
1.2612612613e-01, -1.5183201832e+05, 5.9609773380e-01, 2.4270761273e-02, 1.5033566894e-01
1.2712712713e-01, -1.5353699205e+05, 5.9790212651e-01, 1.2706542281e-01, 1.5203326574e-01
1.2812812813e-01, -1.5524326936e+05, 5.9967852776e-01, 2.5164440116e-02, 1.5373221500e-01
1.2912912913e-01, -1.5695075758e+05, 6.0142721632e-01, 1.2957221063e-01, 1.5543242378e-01
1.3013013013e-01, -1.5865936542e+05, 6.0314846823e-01, 2.6060679926e-02, 1.5713380050e-01
1.3113113113e-01, -1.6036900292e+05, 6.0484255676e-01, 1.3208137534e-01, 1.5883625489e-01
1.3213213213e-01, -1.6207958145e+05, 6.0650975245e-01, 2.6959115268e-02, 1.6053969805e-01
1.3313313313e-01, -1.6379101368e+05, 6.0815032316e-01, 1.3459255689e-01, 1.6224404236e-01
1.3413413413e-01, -1.6550321359e+05, 6.0976453408e-01, 2.7859391373e-02, 1.6394920151e-01
1.3513513514e-01, -1.6721609642e+05, 6.1135264775e-01, 1.3710540573e-01, 1.6565509047e-01
1.3613613614e-01, -1.6892957869e+05, 6.1291492410e-01, 2.8761163879e-02, 1.6736162546e-01
1.3713713714e-01, -1.7064357816e+05, 6.1445162048e-01, 1.3961958262e-01, 1.6906872398e-01
1.3813813814e-01, -1.7235801382e+05, 6.1596299167e-01, 2.9664098589e-02, 1.7077630472e-01
1.3913913914e-01, -1.7407280588e+05, 6.1744928989e-01, 1.4213475835e-01, 1.7248428764e-01
1.4014014014e-01, -1.7578787576e+05, 6.1891076489e-01, 3.0567871222e-02, 1.7419259386e-01
1.4114114114e-01, -1.7750314607e+05, 6.2034766391e-01, 1.4465061351e-01, 1.7590114572e-01
1.4214214214e-01, -1.7921854057e+05, 6.2176023172e-01, 3.1472167184e-02, 1.7760986672e-01
1.4314314314e-01, -1.8093398421e+05, 6.2314871066e-01, 1.4716683826e-01, 1.7931868152e-01
1.4414414414e-01, -1.8264940307e+05, 6.2451334066e-01, 3.2376681327e-02, 1.8102751595e-01
1.4514514515e-01, -1.8436472437e+05, 6.2585435926e-01, 1.4968313209e-01, 1.8273629696e-01
1.4614614615e-01, -1.8607987645e+05, 6.2717200162e-01, 3.3281117727e-02, 1.8444495260e-01
1.4714714715e-01, -1.8779478874e+05, 6.2846650059e-01, 1.5219920360e-01, 1.8615341206e-01
1.4814814815e-01, -1.8950939179e+05, 6.2973808666e-01, 3.4185189463e-02, 1.8786160560e-01
1.4914914915e-01, -1.9122361719e+05, 6.3098698806e-01, 1.5471477030e-01, 1.8956946457e-01
1.5015015015e-01, -1.9293739763e+05, 6.3221343072e-01, 3.5088618398e-02, 1.9127692140e-01
1.5115115115e-01, -1.9465066683e+05, 6.3341763833e-01, 1.5722955835e-01, 1.9298390953e-01
1.5215215215e-01, -1.9636335957e+05, 6.3459983236e-01, 3.5991134965e-02, 1.9469036350e-01
1.5315315315e-01, -1.9807541163e+05, 6.3576023207e-01, 1.5974330240e-01, 1.9639621882e-01
1.5415415415e-01, -1.9978675983e+05, 6.3689905452e-01, 3.6892477965e-02, 1.9810141207e-01
1.5515515516e-01, -2.0149734198e+05, 6.3801651463e-01, 1.6225574536e-01, 1.9980588078e-01
1.5615615616e-01, -2.0320709687e+05, 6.3911282517e-01, 3.7792394358e-02, 2.0150956352e-01
1.5715715716e-01, -2.0491596429e+05, 6.4018819679e-01, 1.6476663819e-01, 2.0321239980e-01
1.5815815816e-01, -2.0662388499e+05, 6.4124283804e-01, 3.8690639069e-02, 2.0491433012e-01
1.5915915916e-01, -2.0833080064e+05, 6.4227695540e-01, 1.6727573973e-01, 2.0661529593e-01
1.6016016016e-01, -2.1003665391e+05, 6.4329075329e-01, 3.9586974795e-02, 2.0831523962e-01
1.6116116116e-01, -2.1174138835e+05, 6.4428443410e-01, 1.6978281648e-01, 2.1001410452e-01
1.6216216216e-01, -2.1344494845e+05, 6.4525819818e-01, 4.0481171810e-02, 2.1171183486e-01
1.6316316316e-01, -2.1514727961e+05, 6.4621224391e-01, 1.7228764245e-01, 2.1340837579e-01
1.6416416416e-01, -2.1684832812e+05, 6.4714676770e-01, 4.1373007783e-02, 2.1510367338e-01
1.6516516517e-01, -2.1854804116e+05, 6.4806196397e-01, 1.7478999892e-01, 2.1679767455e-01
1.6616616617e-01, -2.2024636678e+05, 6.4895802524e-01, 4.2262267600e-02, 2.1849032712e-01
1.6716716717e-01, -2.2194325389e+05, 6.4983514208e-01, 1.7728967433e-01, 2.2018157976e-01
1.6816816817e-01, -2.2363865227e+05, 6.5069350319e-01, 4.3148743181e-02, 2.2187138200e-01
1.6916916917e-01, -2.2533251252e+05, 6.5153329537e-01, 1.7978646405e-01, 2.2355968422e-01
1.7017017017e-01, -2.2702478608e+05, 6.5235470358e-01, 4.4032233309e-02, 2.2524643763e-01
1.7117117117e-01, -2.2871542522e+05, 6.5315791091e-01, 1.8228017023e-01, 2.2693159425e-01
1.7217217217e-01, -2.3040438301e+05, 6.5394309865e-01, 4.4912543463e-02, 2.2861510693e-01
1.7317317317e-01, -2.3209161332e+05, 6.5471044629e-01, 1.8477060163e-01, 2.3029692932e-01
1.7417417417e-01, -2.3377707083e+05, 6.5546013149e-01, 4.5789485651e-02, 2.3197701584e-01
1.7517517518e-01, -2.3546071097e+05, 6.5619233020e-01, 1.8725757347e-01, 2.3365532172e-01
1.7617617618e-01, -2.3714248997e+05, 6.5690721656e-01, 4.6662878245e-02, 2.3533180295e-01
1.7717717718e-01, -2.3882236481e+05, 6.5760496302e-01, 1.8974090723e-01, 2.3700641629e-01
1.7817817818e-01, -2.4050029321e+05, 6.5828574029e-01, 4.7532545829e-02, 2.3867911924e-01
1.7917917918e-01, -2.4217623366e+05, 6.5894971738e-01, 1.9222043056e-01, 2.4034987005e-01
1.8018018018e-01, -2.4385014536e+05, 6.5959706162e-01, 4.8398319039e-02, 2.4201862772e-01
1.8118118118e-01, -2.4552198825e+05, 6.6022793869e-01, 1.9469597706e-01, 2.4368535195e-01
1.8218218218e-01, -2.4719172296e+05, 6.6084251258e-01, 4.9260034416e-02, 2.4535000317e-01
1.8318318318e-01, -2.4885931086e+05, 6.6144094569e-01, 1.9716738616e-01, 2.4701254251e-01
1.8418418418e-01, -2.5052471400e+05, 6.6202339878e-01, 5.0117534254e-02, 2.4867293182e-01
1.8518518519e-01, -2.5218789510e+05, 6.6259003101e-01, 1.9963450298e-01, 2.5033113360e-01
1.8618618619e-01, -2.5384881759e+05, 6.6314099995e-01, 5.0970666461e-02, 2.5198711108e-01
1.8718718719e-01, -2.5550744556e+05, 6.6367646162e-01, 2.0209717819e-01, 2.5364082811e-01
1.8818818819e-01, -2.5716374376e+05, 6.6419657047e-01, 5.1819284413e-02, 2.5529224924e-01
1.8918918919e-01, -2.5881767759e+05, 6.6470147941e-01, 2.0455526783e-01, 2.5694133967e-01
1.9019019019e-01, -2.6046921311e+05, 6.6519133983e-01, 5.2663246818e-02, 2.5858806523e-01
1.9119119119e-01, -2.6211831699e+05, 6.6566630163e-01, 2.0700863325e-01, 2.6023239240e-01
1.9219219219e-01, -2.6376495656e+05, 6.6612651318e-01, 5.3502417583e-02, 2.6187428830e-01
1.9319319319e-01, -2.6540909975e+05, 6.6657212142e-01, 2.0945714088e-01, 2.6351372065e-01
1.9419419419e-01, -2.6705071511e+05, 6.6700327177e-01, 5.4336665677e-02, 2.6515065780e-01
1.9519519520e-01, -2.6868977180e+05, 6.6742010825e-01, 2.1190066218e-01, 2.6678506870e-01
1.9619619620e-01, -2.7032623958e+05, 6.6782277343e-01, 5.5165865011e-02, 2.6841692290e-01
1.9719719720e-01, -2.7196008878e+05, 6.6821140844e-01, 2.1433907349e-01, 2.7004619055e-01
1.9819819820e-01, -2.7359129033e+05, 6.6858615304e-01, 5.5989894302e-02, 2.7167284237e-01
1.9919919920e-01, -2.7521981573e+05, 6.6894714558e-01, 2.1677225588e-01, 2.7329684966e-01
2.0020020020e-01, -2.7684563705e+05, 6.6929452301e-01, 5.6808636957e-02, 2.7491818429e-01
2.0120120120e-01, -2.7846872692e+05, 6.6962842096e-01, 2.1920009507e-01, 2.7653681869e-01
2.0220220220e-01, -2.8008905850e+05, 6.6994897367e-01, 5.7621980953e-02, 2.7815272584e-01
2.0320320320e-01, -2.8170660554e+05, 6.7025631407e-01, 2.2162248125e-01, 2.7976587928e-01
2.0420420420e-01, -2.8332134229e+05, 6.7055057376e-01, 5.8429818713e-02, 2.8137625308e-01
2.0520520521e-01, -2.8493324355e+05, 6.7083188301e-01, 2.2403930905e-01, 2.8298382184e-01
2.0620620621e-01, -2.8654228464e+05, 6.7110037082e-01, 5.9232047000e-02, 2.8458856068e-01
2.0720720721e-01, -2.8814844139e+05, 6.7135616489e-01, 2.2645047734e-01, 2.8619044526e-01
2.0820820821e-01, -2.8975169015e+05, 6.7159939164e-01, 6.0028566798e-02, 2.8778945173e-01
2.0920920921e-01, -2.9135200777e+05, 6.7183017625e-01, 2.2885588919e-01, 2.8938555676e-01
2.1021021021e-01, -2.9294937161e+05, 6.7204864265e-01, 6.0819283205e-02, 2.9097873750e-01
2.1121121121e-01, -2.9454375949e+05, 6.7225491353e-01, 2.3125545170e-01, 2.9256897163e-01
2.1221221221e-01, -2.9613514976e+05, 6.7244911035e-01, 6.1604105328e-02, 2.9415623726e-01
2.1321321321e-01, -2.9772352121e+05, 6.7263135336e-01, 2.3364907595e-01, 2.9574051303e-01
2.1421421421e-01, -2.9930885311e+05, 6.7280176165e-01, 6.2382946174e-02, 2.9732177803e-01
2.1521521522e-01, -3.0089112520e+05, 6.7296045307e-01, 2.3603667686e-01, 2.9890001181e-01
2.1621621622e-01, -3.0247031769e+05, 6.7310754432e-01, 6.3155722552e-02, 3.0047519440e-01
2.1721721722e-01, -3.0404641123e+05, 6.7324315096e-01, 2.3841817311e-01, 3.0204730626e-01
2.1821821822e-01, -3.0561938692e+05, 6.7336738736e-01, 6.3922354970e-02, 3.0361632833e-01
2.1921921922e-01, -3.0718922629e+05, 6.7348036677e-01, 2.4079348700e-01, 3.0518224196e-01
2.2022022022e-01, -3.0875591133e+05, 6.7358220132e-01, 6.4682767540e-02, 3.0674502895e-01
2.2122122122e-01, -3.1031942444e+05, 6.7367300200e-01, 2.4316254442e-01, 3.0830467154e-01
2.2222222222e-01, -3.1187974845e+05, 6.7375287872e-01, 6.5436887881e-02, 3.0986115239e-01
2.2322322322e-01, -3.1343686661e+05, 6.7382194027e-01, 2.4552527471e-01, 3.1141445456e-01
2.2422422422e-01, -3.1499076258e+05, 6.7388029439e-01, 6.6184647026e-02, 3.1296456155e-01
2.2522522523e-01, -3.1654142043e+05, 6.7392804771e-01, 2.4788161057e-01, 3.1451145725e-01
2.2622622623e-01, -3.1808882463e+05, 6.7396530582e-01, 6.6925979333e-02, 3.1605512596e-01
2.2722722723e-01, -3.1963296003e+05, 6.7399217326e-01, 2.5023148799e-01, 3.1759555239e-01
2.2822822823e-01, -3.2117381191e+05, 6.7400875351e-01, 6.7660822392e-02, 3.1913272161e-01
2.2922922923e-01, -3.2271136590e+05, 6.7401514903e-01, 2.5257484614e-01, 3.2066661910e-01
2.3023023023e-01, -3.2424560801e+05, 6.7401146128e-01, 6.8389116943e-02, 3.2219723072e-01
2.3123123123e-01, -3.2577652466e+05, 6.7399779067e-01, 2.5491162731e-01, 3.2372454269e-01
2.3223223223e-01, -3.2730410260e+05, 6.7397423664e-01, 6.9110806789e-02, 3.2524854163e-01
2.3323323323e-01, -3.2882832896e+05, 6.7394089762e-01, 2.5724177680e-01, 3.2676921449e-01
2.3423423423e-01, -3.3034919123e+05, 6.7389787109e-01, 6.9825838712e-02, 3.2828654861e-01
2.3523523524e-01, -3.3186667727e+05, 6.7384525351e-01, 2.5956524285e-01, 3.2980053167e-01
2.3623623624e-01, -3.3338077526e+05, 6.7378314043e-01, 7.0534162395e-02, 3.3131115171e-01
2.3723723724e-01, -3.3489147375e+05, 6.7371162642e-01, 2.6188197656e-01, 3.3281839711e-01
2.3823823824e-01, -3.3639876162e+05, 6.7363080511e-01, 7.1235730340e-02, 3.3432225658e-01
2.3923923924e-01, -3.3790262808e+05, 6.7354076920e-01, 2.6419193182e-01, 3.3582271920e-01
2.4024024024e-01, -3.3940306268e+05, 6.7344161047e-01, 7.1930497793e-02, 3.3731977435e-01
2.4124124124e-01, -3.4090005530e+05, 6.7333341979e-01, 2.6649506521e-01, 3.3881341175e-01
2.4224224224e-01, -3.4239359614e+05, 6.7321628712e-01, 7.2618422668e-02, 3.4030362144e-01
2.4324324324e-01, -3.4388367569e+05, 6.7309030151e-01, 2.6879133596e-01, 3.4179039379e-01
2.4424424424e-01, -3.4537028480e+05, 6.7295555114e-01, 7.3299465472e-02, 3.4327371946e-01
2.4524524525e-01, -3.4685341460e+05, 6.7281212332e-01, 2.7108070585e-01, 3.4475358944e-01
2.4624624625e-01, -3.4833305652e+05, 6.7266010446e-01, 7.3973589238e-02, 3.4622999501e-01
2.4724724725e-01, -3.4980920231e+05, 6.7249958014e-01, 2.7336313913e-01, 3.4770292777e-01
2.4824824825e-01, -3.5128184400e+05, 6.7233063508e-01, 7.4640759446e-02, 3.4917237961e-01
2.4924924925e-01, -3.5275097391e+05, 6.7215335313e-01, 2.7563860250e-01, 3.5063834269e-01
2.5025025025e-01, -3.5421658466e+05, 6.7196781735e-01, 7.5300943965e-02, 3.5210080949e-01
2.5125125125e-01, -3.5567866915e+05, 6.7177410993e-01, 2.7790706498e-01, 3.5355977275e-01
2.5225225225e-01, -3.5713722055e+05, 6.7157231227e-01, 7.5954112979e-02, 3.5501522551e-01
2.5325325325e-01, -3.5859223231e+05, 6.7136250495e-01, 2.8016849790e-01, 3.5646716108e-01
2.5425425425e-01, -3.6004369816e+05, 6.7114476774e-01, 7.6600238921e-02, 3.5791557303e-01
2.5525525526e-01, -3.6149161209e+05, 6.7091917963e-01, 2.8242287479e-01, 3.5936045521e-01
2.5625625626e-01, -3.6293596835e+05, 6.7068581881e-01, 7.7239296416e-02, 3.6080180173e-01
2.5725725726e-01, -3.6437676145e+05, 6.7044476270e-01, 2.8467017135e-01, 3.6223960696e-01
