x, f, u_gen, u_spec, u_LU
0.0000000000e+00, -1.0000000000e+02, 0.0000000000e+00, -0.0000000000e+00, 0.0000000000e+00
1.0010010010e-03, -1.4900399234e+02, 1.7928317387e-02, 4.3608076706e-04, 7.4353215386e-05
2.0020020020e-03, -2.7185589605e+02, 2.6743769650e-02, -7.2345510335e-04, 1.8087533249e-04
3.0030030030e-03, -4.2629432810e+02, 3.5461399751e-02, 1.3564956538e-03, 3.1908226246e-04
4.0040040040e-03, -6.1184149431e+02, 4.4082182004e-02, -1.3832178551e-03, 4.8849571552e-04
5.0050050050e-03, -8.2802533397e+02, 5.2607081023e-02, 2.3396419632e-03, 6.8864313673e-04
6.0060060060e-03, -1.0743794562e+03, 6.1037051812e-02, -1.9811985918e-03, 9.1905764243e-04
7.0070070070e-03, -1.3504430772e+03, 6.9373039862e-02, 3.3836322733e-03, 1.1792779574e-03
8.0080080080e-03, -1.6557609578e+03, 7.7615981251e-02, -2.5192620753e-03, 1.4688483525e-03
9.0090090090e-03, -1.9898833420e+03, 8.5766802728e-02, 4.4866242313e-03, 1.7873185833e-03
1.0010010010e-02, -2.3523658963e+03, 9.3826421816e-02, -2.9992284977e-03, 2.1342438293e-03
1.1011011011e-02, -2.7427696489e+03, 1.0179574690e-01, 5.6468195597e-03, 2.5091846331e-03
1.2012012012e-02, -3.1606609309e+03, 1.0967567731e-01, -3.4228744654e-03, 2.9117068416e-03
1.3013013013e-02, -3.6056113164e+03, 1.1746710343e-01, 6.8624630825e-03, 3.3413815464e-03
1.4014014014e-02, -4.0771975649e+03, 1.2517090676e-01, -3.7919339619e-03, 3.7977850261e-03
1.5015015015e-02, -4.5750015633e+03, 1.3278796004e-01, 8.1318417728e-03, 4.2804986877e-03
1.6016016016e-02, -5.0986102689e+03, 1.4031912730e-01, -4.1080992908e-03, 4.7891090106e-03
1.7017017017e-02, -5.6476156526e+03, 1.4776526397e-01, 9.4532838202e-03, 5.3232074893e-03
1.8018018018e-02, -6.2216146436e+03, 1.5512721697e-01, -4.3730219975e-03, 5.8823905778e-03
1.9019019019e-02, -6.8202090736e+03, 1.6240582478e-01, 1.0825157718e-02, 6.4662596344e-03
2.0020020020e-02, -7.4430056223e+03, 1.6960191750e-01, -4.5883137726e-03, 7.0744208670e-03
2.1021021021e-02, -8.0896157634e+03, 1.7671631701e-01, 1.2245871372e-02, 7.7064852789e-03
2.2022022022e-02, -8.7596557110e+03, 1.8374983698e-01, -4.7555473351e-03, 8.3620686155e-03
2.3023023023e-02, -9.4527463665e+03, 1.9070328296e-01, 1.3713871221e-02, 9.0407913111e-03
2.4024024024e-02, -1.0168513267e+04, 1.9757745250e-01, -4.8762572973e-03, 9.7422784367e-03
2.5025025025e-02, -1.0906586531e+04, 2.0437313521e-01, 1.5227641390e-02, 1.0466159648e-02
2.6026026026e-02, -1.1666600812e+04, 2.1109111281e-01, -4.9519410112e-03, 1.1212069135e-02
2.7027027027e-02, -1.2448195241e+04, 2.1773215926e-01, 1.6785702844e-02, 1.1979645569e-02
2.8028028028e-02, -1.3251013385e+04, 2.2429704080e-01, -4.9840593961e-03, 1.2768532056e-02
2.9029029029e-02, -1.4074703187e+04, 2.3078651603e-01, 1.8386612575e-02, 1.3578376084e-02
3.0030030030e-02, -1.4918916927e+04, 2.3720133600e-01, -4.9740377500e-03, 1.4408829475e-02
3.1031031031e-02, -1.5783311166e+04, 2.4354224429e-01, 2.0028962799e-02, 1.5259548336e-02
3.2032032032e-02, -1.6667546702e+04, 2.4980997707e-01, -4.9232665423e-03, 1.6130193013e-02
3.3033033033e-02, -1.7571288521e+04, 2.5600526317e-01, 2.1711380166e-02, 1.7020428040e-02
3.4034034034e-02, -1.8494205749e+04, 2.6212882416e-01, -4.8331021901e-03, 1.7929922097e-02
3.5035035035e-02, -1.9435971610e+04, 2.6818137443e-01, 2.3432525001e-02, 1.8858347955e-02
3.6036036036e-02, -2.0396263373e+04, 2.7416362125e-01, -4.7048678184e-03, 1.9805382441e-02
3.7037037037e-02, -2.1374762313e+04, 2.8007626485e-01, 2.5191090545e-02, 2.0770706384e-02
3.8038038038e-02, -2.2371153661e+04, 2.8591999849e-01, -4.5398540027e-03, 2.1754004573e-02
3.9039039039e-02, -2.3385126563e+04, 2.9169550851e-01, 2.6985802223e-02, 2.2754965713e-02
4.0040040040e-02, -2.4416374035e+04, 2.9740347442e-01, -4.3393194974e-03, 2.3773282379e-02
4.1041041041e-02, -2.5464592916e+04, 3.0304456898e-01, 2.8815416923e-02, 2.4808650975e-02
4.2042042042e-02, -2.6529483833e+04, 3.0861945821e-01, -4.1044919471e-03, 2.5860771688e-02
4.3043043043e-02, -2.7610751148e+04, 3.1412880154e-01, 3.0678722294e-02, 2.6929348450e-02
4.4044044044e-02, -2.8708102924e+04, 3.1957325181e-01, -3.8365685839e-03, 2.8014088890e-02
4.5045045045e-02, -2.9821250880e+04, 3.2495345535e-01, 3.2574536052e-02, 2.9114704294e-02
4.6046046046e-02, -3.0949910349e+04, 3.3027005206e-01, -3.5367169085e-03, 3.0230909568e-02
4.7047047047e-02, -3.2093800238e+04, 3.3552367549e-01, 3.4501705313e-02, 3.1362423191e-02
4.8048048048e-02, -3.3252642990e+04, 3.4071495284e-01, -3.2060753583e-03, 3.2508967180e-02
4.9049049049e-02, -3.4426164539e+04, 3.4584450508e-01, 3.6459105924e-02, 3.3670267044e-02
5.0050050050e-02, -3.5614094275e+04, 3.5091294702e-01, -2.8457539591e-03, 3.4846051752e-02
5.1051051051e-02, -3.6816165003e+04, 3.5592088729e-01, 3.8445641825e-02, 3.6036053686e-02
5.2052052052e-02, -3.8032112903e+04, 3.6086892852e-01, -2.4568349651e-03, 3.7240008610e-02
5.3053053053e-02, -3.9261677494e+04, 3.6575766729e-01, 4.0460244413e-02, 3.8457655623e-02
5.4054054054e-02, -4.0504601597e+04, 3.7058769427e-01, -2.0403734833e-03, 3.9688737132e-02
5.5055055055e-02, -4.1760631293e+04, 3.7535959422e-01, 4.2501871923e-02, 4.0932998803e-02
5.6056056056e-02, -4.3029515891e+04, 3.8007394611e-01, -1.5973980853e-03, 4.2190189534e-02
5.7057057057e-02, -4.4311007888e+04, 3.8473132310e-01, 4.4569508827e-02, 4.3460061410e-02
5.8058058058e-02, -4.5604862935e+04, 3.8933229268e-01, -1.1289114061e-03, 4.4742369674e-02
5.9059059059e-02, -4.6910839799e+04, 3.9387741667e-01, 4.6662165237e-02, 4.6036872686e-02
6.0060060060e-02, -4.8228700329e+04, 3.9836725129e-01, -6.3589072949e-04, 4.7343331890e-02
6.1061061061e-02, -4.9558209421e+04, 4.0280234723e-01, 4.8778876330e-02, 4.8661511778e-02
6.2062062062e-02, -5.0899134983e+04, 4.0718324970e-01, -1.1928856141e-04, 4.9991179854e-02
6.3063063063e-02, -5.2251247899e+04, 4.1151049845e-01, 5.0918701777e-02, 5.1332106606e-02
6.4064064064e-02, -5.3614321999e+04, 4.1578462790e-01, 4.1996680959e-04, 5.2684065461e-02
6.5065065065e-02, -5.4988134021e+04, 4.2000616710e-01, 5.3080725193e-02, 5.4046832763e-02
6.6066066066e-02, -5.6372463581e+04, 4.2417563987e-01, 9.8097076356e-04, 5.5420187732e-02
6.7067067067e-02, -5.7767093138e+04, 4.2829356478e-01, 5.5264053589e-02, 5.6803912434e-02
6.8068068068e-02, -5.9171807963e+04, 4.3236045527e-01, 1.5628418124e-03, 5.8197791748e-02
6.9069069069e-02, -6.0586396106e+04, 4.3637681963e-01, 5.7467816846e-02, 5.9601613334e-02
7.0070070070e-02, -6.2010648365e+04, 4.4034316112e-01, 2.1647210744e-03, 6.1015167601e-02
7.1071071071e-02, -6.3444358254e+04, 4.4425997795e-01, 5.9691167192e-02, 6.2438247678e-02
7.2072072072e-02, -6.4887321971e+04, 4.4812776341e-01, 2.7857717607e-03, 6.3870649377e-02
7.3073073073e-02, -6.6339338368e+04, 4.5194700584e-01, 6.1933278694e-02, 6.5312171168e-02
7.4074074074e-02, -6.7800208923e+04, 4.5571818874e-01, 3.4251786723e-03, 6.6762614147e-02
7.5075075075e-02, -6.9269737705e+04, 4.5944179079e-01, 6.4193346765e-02, 6.8221782003e-02
