x, u_gen, u_spec
0.000000, 0.000000, 0.000000
0.033333, 0.247834, 0.247834
0.066667, 0.416053, 0.416053
0.100000, 0.527225, 0.527225
0.133333, 0.597522, 0.597522
0.166667, 0.638531, 0.638531
0.200000, 0.658553, 0.658553
0.233333, 0.663539, 0.663539
0.266667, 0.657749, 0.657749
0.300000, 0.644239, 0.644239
0.333333, 0.625197, 0.625197
0.366667, 0.602192, 0.602192
0.400000, 0.576346, 0.576346
0.433333, 0.548465, 0.548465
0.466667, 0.519126, 0.519126
0.500000, 0.488743, 0.488743
0.533333, 0.457610, 0.457610
0.566667, 0.425941, 0.425941
0.600000, 0.393888, 0.393888
0.633333, 0.361559, 0.361559
0.666667, 0.329033, 0.329033
0.700000, 0.296366, 0.296366
0.733333, 0.263597, 0.263597
0.766667, 0.230755, 0.230755
0.800000, 0.197862, 0.197862
0.833333, 0.164931, 0.164931
0.866667, 0.131974, 0.131974
0.900000, 0.098997, 0.098997
0.933333, 0.066007, 0.066007
0.966667, 0.033007, 0.033007
1.000000, 0.000000, 0.000000
